index,deck_id,rating,is_commander,count
14284,1,62,true,1
22627,1,62,false,1
17900,1,62,false,1
11308,1,62,false,1
8203,1,62,false,1
16525,1,62,false,1
8434,1,62,false,1
18816,1,62,false,1
1501,1,62,false,1
16517,1,62,false,1
16085,1,62,false,1
7852,1,62,false,1
4457,1,62,false,1
3216,1,62,false,1
10298,1,62,false,1
4127,1,62,false,1
22385,1,62,false,1
2813,1,62,false,1
6873,1,62,false,1
18367,1,62,false,1
15082,1,62,false,1
4568,1,62,false,1
15343,1,62,false,1
18307,1,62,false,1
9797,1,62,false,1
13219,1,62,false,1
415,1,62,false,1
1348,1,62,false,1
20115,1,62,false,1
5295,1,62,false,1
18716,1,62,false,1
1351,1,62,false,1
9459,1,62,false,1
4306,1,62,false,1
17539,1,62,false,1
22625,1,62,false,1
19161,1,62,false,1
520,1,62,false,1
10431,1,62,false,1
12732,1,62,false,1
18835,1,62,false,1
18619,1,62,false,1
7824,1,62,false,1
20626,1,62,false,1
8663,1,62,false,1
7717,1,62,false,1
15902,1,62,false,1
14376,1,62,false,1
22613,1,62,false,1
9800,1,62,false,1
16853,1,62,false,1
8156,1,62,false,1
8200,1,62,false,1
1071,1,62,false,1
11282,1,62,false,1
13415,1,62,false,1
9536,1,62,false,1
18709,1,62,false,1
19350,1,62,false,1
13762,1,62,false,1
8593,1,62,false,1
11627,1,62,false,1
20495,1,62,false,1
14178,1,62,false,1
19103,1,62,false,1
7397,1,62,false,1
457,1,62,false,1
17081,1,62,false,1
18474,1,62,false,1
19080,1,62,false,1
1851,1,62,false,1
769,1,62,false,1
6446,1,62,false,1
11604,1,62,false,1
1096,1,62,false,1
5975,1,62,false,1
16034,1,62,false,7
16934,1,62,false,1
8879,1,62,false,1
17415,1,62,false,1
12421,1,62,false,1
8396,1,62,false,1
894,1,62,false,1
18410,1,62,false,1
7687,1,62,false,6
209,1,62,false,1
4543,1,62,false,1
22743,1,62,false,1
8858,2,35,true,1
321,2,35,false,1
6207,2,35,false,1
17274,2,35,false,1
17675,2,35,false,1
18024,2,35,false,1
15790,2,35,false,1
21702,2,35,false,1
575,2,35,false,1
5654,2,35,false,1
9429,2,35,false,1
686,2,35,false,1
7209,2,35,false,1
20786,2,35,false,1
15853,2,35,false,1
22512,2,35,false,1
20395,2,35,false,1
8430,2,35,false,1
11663,2,35,false,1
9299,2,35,false,1
19916,2,35,false,1
20176,2,35,false,1
10850,2,35,false,1
22227,2,35,false,1
9594,2,35,false,1
10801,2,35,false,1
1291,2,35,false,1
2156,2,35,false,1
20929,2,35,false,1
12047,2,35,false,1
8787,2,35,false,1
10951,2,35,false,1
19321,2,35,false,1
13971,2,35,false,1
11476,2,35,false,1
9636,2,35,false,1
65,2,35,false,1
7950,2,35,false,1
22862,2,35,false,1
12594,2,35,false,1
12528,2,35,false,1
14410,2,35,false,1
6547,2,35,false,1
1963,2,35,false,1
20822,2,35,false,1
6758,2,35,false,1
10293,2,35,false,1
18965,2,35,false,1
15131,2,35,false,1
18120,2,35,false,1
19698,2,35,false,1
9536,2,35,false,1
11997,2,35,false,1
18178,2,35,false,1
5504,2,35,false,1
19529,2,35,false,1
12748,2,35,false,1
7302,2,35,false,1
20289,2,35,false,1
4883,2,35,false,1
4324,2,35,false,1
15511,2,35,false,1
1110,2,35,false,1
3728,2,35,false,1
11506,2,35,false,1
19940,2,35,false,1
20029,2,35,false,1
769,2,35,false,1
15015,2,35,false,1
16090,2,35,false,11
18982,2,35,false,1
1300,2,35,false,1
325,2,35,false,1
14722,2,35,false,11
1027,2,35,false,1
9673,2,35,false,1
19688,2,35,false,1
13182,2,35,false,1
18650,2,35,false,1
18215,3,71,true,1
6207,3,71,false,1
5493,3,71,false,1
8309,3,71,false,1
18996,3,71,false,1
12595,3,71,false,1
19653,3,71,false,1
5117,3,71,false,1
5654,3,71,false,1
686,3,71,false,1
4282,3,71,false,1
15853,3,71,false,1
22712,3,71,false,1
22354,3,71,false,1
17118,3,71,false,1
12860,3,71,false,1
12683,3,71,false,1
9025,3,71,false,1
1166,3,71,false,1
9299,3,71,false,1
22399,3,71,false,1
21346,3,71,false,1
16360,3,71,false,1
3953,3,71,false,1
324,3,71,false,1
20399,3,71,false,1
22227,3,71,false,1
18189,3,71,false,1
21776,3,71,false,1
10753,3,71,false,1
22388,3,71,false,1
8787,3,71,false,1
19719,3,71,false,1
6384,3,71,false,1
12343,3,71,false,1
10662,3,71,false,1
695,3,71,false,1
15609,3,71,false,1
8449,3,71,false,1
3236,3,71,false,1
9735,3,71,false,1
22116,3,71,false,1
12528,3,71,false,1
6547,3,71,false,1
9404,3,71,false,1
3979,3,71,false,1
18249,3,71,false,1
11933,3,71,false,1
3733,3,71,false,1
1071,3,71,false,1
6895,3,71,false,1
8429,3,71,false,1
12485,3,71,false,1
9536,3,71,false,1
17996,3,71,false,1
10772,3,71,false,1
2877,3,71,false,1
11997,3,71,false,1
4324,3,71,false,1
19726,3,71,false,1
14116,3,71,false,1
15511,3,71,false,1
5985,3,71,false,1
21862,3,71,false,1
19940,3,71,false,1
20029,3,71,false,1
769,3,71,false,1
14385,3,71,false,1
1133,3,71,false,1
22311,3,71,false,1
16090,3,71,false,7
18955,3,71,false,1
9001,3,71,false,1
16988,3,71,false,1
17795,3,71,false,1
18752,3,71,false,1
14722,3,71,false,6
322,3,71,false,1
12671,3,71,false,1
17415,3,71,false,1
21809,3,71,false,1
13401,3,71,false,1
9673,3,71,false,1
19688,3,71,false,1
13182,3,71,false,1
6264,3,71,false,1
2013,3,71,false,1
9007,3,71,false,1
21603,4,12,true,1
14861,4,12,false,1
22361,4,12,false,1
9156,4,12,false,1
19006,4,12,false,1
16765,4,12,false,1
11342,4,12,false,1
1515,4,12,false,1
565,4,12,false,1
21768,4,12,false,1
6772,4,12,false,1
20693,4,12,false,1
5695,4,12,false,1
17253,4,12,false,1
22335,4,12,false,1
18006,4,12,false,1
9299,4,12,false,1
5172,4,12,false,1
10000,4,12,false,1
9967,4,12,false,1
15245,4,12,false,1
17547,4,12,false,1
12547,4,12,false,1
12343,4,12,false,1
17244,4,12,false,1
3534,4,12,false,1
10007,4,12,false,1
11744,4,12,false,1
17003,4,12,false,1
6269,4,12,false,1
13704,4,12,false,1
12528,4,12,false,1
14410,4,12,false,1
1963,4,12,false,1
19671,4,12,false,1
4733,4,12,false,1
5430,4,12,false,1
11933,4,12,false,1
7256,4,12,false,1
18989,4,12,false,1
1365,4,12,false,1
1665,4,12,false,1
4768,4,12,false,1
5222,4,12,false,1
21973,4,12,false,1
15673,4,12,false,1
12862,4,12,false,1
9536,4,12,false,1
17996,4,12,false,1
14954,4,12,false,1
12221,4,12,false,1
9648,4,12,false,1
15558,4,12,false,1
16105,4,12,false,1
869,4,12,false,1
11547,4,12,false,1
10880,4,12,false,1
23023,4,12,false,1
16177,4,12,false,1
23022,4,12,false,1
2003,4,12,false,1
14523,4,12,false,1
14412,4,12,false,1
10202,4,12,false,1
21912,4,12,false,1
11371,4,12,false,1
16090,4,12,false,27
19049,4,12,false,1
5011,4,12,false,1
22201,4,12,false,1
4557,4,12,false,1
20175,4,12,false,1
4470,4,12,false,1
11722,5,34,true,1
2474,5,34,false,1
12539,5,34,false,1
10916,5,34,false,1
3929,5,34,false,1
14300,5,34,false,1
22574,5,34,false,1
17896,5,34,false,1
18683,5,34,false,1
7057,5,34,false,1
16579,5,34,false,1
7085,5,34,false,1
20592,5,34,false,1
5176,5,34,false,1
3974,5,34,false,1
1518,5,34,false,1
11234,5,34,false,1
16687,5,34,false,1
22904,5,34,false,1
16744,5,34,false,1
15589,5,34,false,1
22829,5,34,false,1
5393,5,34,false,1
12633,5,34,false,1
21931,5,34,false,1
417,5,34,false,1
13038,5,34,false,1
1797,5,34,false,1
20106,5,34,false,1
12402,5,34,false,1
14036,5,34,false,1
14124,5,34,false,1
6358,5,34,false,1
1646,5,34,false,1
16051,5,34,false,1
10350,5,34,false,1
1160,5,34,false,1
7395,5,34,false,1
19260,5,34,false,1
4230,5,34,false,1
15988,5,34,false,1
21027,5,34,false,1
19791,5,34,false,1
10984,5,34,false,1
4512,5,34,false,1
3824,5,34,false,1
5233,5,34,false,1
6,5,34,false,1
10126,5,34,false,1
13007,5,34,false,1
18633,5,34,false,1
337,5,34,false,1
22216,5,34,false,1
19350,5,34,false,1
17394,5,34,false,1
7643,5,34,false,1
18331,5,34,false,1
16639,5,34,false,1
20390,5,34,false,1
